entity_id,state,last_changed
light.esp1light,on,2025-12-20T17:09:36.819Z
light.esp1light,off,2025-12-20T17:13:31.769Z
light.esp1light,on,2025-12-20T17:13:47.826Z
light.esp1light,off,2025-12-20T17:14:15.771Z
light.esp1light,on,2025-12-20T17:19:17.808Z
light.esp1light,off,2025-12-20T17:19:42.749Z
light.esp1light,on,2025-12-20T17:33:02.816Z
light.esp1light,off,2025-12-20T17:35:44.762Z
light.esp1light,on,2025-12-20T17:38:52.840Z
light.esp1light,off,2025-12-20T17:44:00.766Z
light.esp1light,on,2025-12-20T17:45:49.833Z
light.esp1light,off,2025-12-20T17:46:22.764Z
light.esp1light,on,2025-12-20T17:47:12.823Z
light.esp1light,off,2025-12-20T17:48:13.753Z
light.esp1light,on,2025-12-20T17:54:28.823Z
light.esp1light,off,2025-12-20T17:57:42.758Z
light.esp1light,on,2025-12-20T17:57:51.846Z
light.esp1light,off,2025-12-20T18:08:00.751Z
light.esp1light,on,2025-12-20T18:19:20.840Z
light.esp1light,off,2025-12-20T18:30:31.776Z
light.esp1light,on,2025-12-20T18:32:21.832Z
light.esp1light,off,2025-12-20T18:47:05.778Z
light.esp1light,on,2025-12-20T18:47:32.826Z
light.esp1light,off,2025-12-20T18:49:16.771Z
light.esp1light,on,2025-12-20T18:51:12.827Z
light.esp1light,off,2025-12-20T19:03:41.761Z
light.esp1light,on,2025-12-20T19:05:26.832Z
light.esp1light,off,2025-12-20T19:12:29.165Z
light.esp1light,on,2025-12-20T19:13:45.824Z
light.esp1light,off,2025-12-20T19:30:07.770Z
light.esp1light,on,2025-12-20T19:33:54.837Z
light.esp1light,off,2025-12-20T19:35:01.762Z
light.esp1light,on,2025-12-20T19:35:41.821Z
light.esp1light,off,2025-12-20T19:39:01.761Z
light.esp1light,on,2025-12-20T19:39:09.818Z
light.esp1light,off,2025-12-20T19:40:59.753Z
light.esp1light,on,2025-12-20T19:52:26.825Z
light.esp1light,off,2025-12-20T19:56:33.766Z
light.esp1light,on,2025-12-20T19:58:20.844Z
light.esp1light,off,2025-12-20T20:04:19.789Z
light.esp1light,on,2025-12-20T20:06:15.836Z
light.esp1light,off,2025-12-20T20:11:50.780Z
light.esp1light,on,2025-12-20T20:12:14.827Z
light.esp1light,off,2025-12-20T20:19:42.773Z
light.esp1light,on,2025-12-20T20:20:47.808Z
light.esp1light,off,2025-12-20T20:26:02.754Z
light.esp1light,on,2025-12-20T20:27:25.832Z
light.esp1light,off,2025-12-20T20:39:09.760Z
light.esp1light,on,2025-12-20T20:44:11.826Z
light.esp1light,off,2025-12-20T20:45:15.799Z
light.esp1light,on,2025-12-20T20:47:20.814Z
light.esp1light,off,2025-12-20T20:56:39.761Z
light.esp1light,on,2025-12-20T20:58:39.828Z
light.esp1light,off,2025-12-20T20:59:52.768Z
light.esp1light,on,2025-12-20T21:00:06.818Z
light.esp1light,off,2025-12-20T21:05:48.772Z
light.esp1light,on,2025-12-20T21:08:44.849Z
light.esp1light,off,2025-12-20T21:10:22.760Z
light.esp1light,on,2025-12-20T21:13:01.820Z
light.esp1light,off,2025-12-20T21:17:47.761Z
light.esp1light,on,2025-12-20T21:25:26.841Z
light.esp1light,off,2025-12-20T21:25:28.964Z
light.esp1light,on,2025-12-20T21:26:24.820Z
light.esp1light,off,2025-12-20T21:29:38.750Z
light.esp1light,on,2025-12-20T21:32:12.844Z
light.esp1light,off,2025-12-20T21:36:17.774Z
light.esp1light,on,2025-12-20T21:36:30.813Z
light.esp1light,off,2025-12-20T21:49:47.768Z
light.esp1light,on,2025-12-20T21:55:54.828Z
light.esp1light,off,2025-12-20T21:57:59.770Z
light.esp1light,on,2025-12-20T22:00:10.836Z
light.esp1light,off,2025-12-20T22:00:42.771Z
light.esp1light,on,2025-12-20T22:02:38.841Z
light.esp1light,off,2025-12-20T22:06:15.754Z
light.esp1light,on,2025-12-20T22:06:18.819Z
light.esp1light,off,2025-12-20T22:08:25.765Z
light.esp1light,on,2025-12-20T22:11:38.843Z
light.esp1light,off,2025-12-20T22:18:29.766Z
light.esp1light,on,2025-12-20T22:18:52.835Z
light.esp1light,off,2025-12-20T22:20:27.777Z
light.esp1light,on,2025-12-20T22:23:26.812Z
light.esp1light,off,2025-12-20T22:29:33.748Z
light.esp1light,on,2025-12-20T22:36:33.835Z
light.esp1light,off,2025-12-20T22:37:24.757Z
light.esp1light,on,2025-12-20T22:38:07.836Z
light.esp1light,off,2025-12-20T22:38:24.748Z
light.esp1light,on,2025-12-20T22:40:00.835Z
light.esp1light,off,2025-12-20T22:40:41.767Z
light.esp1light,on,2025-12-20T22:50:07.836Z
light.esp1light,off,2025-12-20T22:59:22.763Z
light.esp1light,on,2025-12-20T23:03:06.819Z
light.esp1light,off,2025-12-20T23:03:41.774Z
light.esp1light,on,2025-12-20T23:06:01.819Z
light.esp1light,off,2025-12-20T23:08:09.743Z
light.esp1light,on,2025-12-20T23:11:44.862Z
light.esp1light,off,2025-12-20T23:14:29.772Z
light.esp1light,on,2025-12-20T23:16:16.830Z
light.esp1light,off,2025-12-20T23:17:48.797Z
light.esp1light,on,2025-12-20T23:21:03.835Z
light.esp1light,off,2025-12-20T23:21:07.755Z
light.esp1light,on,2025-12-20T23:21:11.823Z
light.esp1light,off,2025-12-20T23:24:21.759Z
light.esp1light,on,2025-12-20T23:25:33.856Z
light.esp1light,off,2025-12-20T23:26:20.760Z
light.esp1light,on,2025-12-20T23:32:40.839Z
light.esp1light,off,2025-12-20T23:32:48.771Z
light.esp1light,on,2025-12-20T23:34:48.830Z
