Timestamp,Device,Command
2025-12-21T15:51:35.240952+00:00,HueWhite1549,ON
2025-12-21T15:51:35.273560+00:00,Nanoleaf1624,ON
2025-12-21T15:51:47.194596+00:00,ESP1light,ON
2025-12-21T15:52:22.186121+00:00,ESP2light,ON
2025-12-21T15:54:11.198124+00:00,ESP2light,OFF
2025-12-21T15:54:22.191680+00:00,ESP3light,ON
2025-12-21T15:54:32.186235+00:00,ESP1light,OFF
2025-12-21T15:55:37.187824+00:00,Nanoleaf1624,OFF
2025-12-21T15:56:39.200454+00:00,HueWhite0475,ON
2025-12-21T15:57:13.183883+00:00,HueWhite0475,OFF
2025-12-21T15:57:54.186752+00:00,Nanoleaf0176,ON
2025-12-21T15:58:09.183552+00:00,ESP2light,ON
2025-12-21T15:58:51.190985+00:00,ESP2light,OFF
2025-12-21T15:59:20.186843+00:00,ESP2light,ON
2025-12-21T16:00:04.183895+00:00,ESP3light,OFF
2025-12-21T16:00:47.182216+00:00,ESP3light,ON
2025-12-21T16:01:09.193055+00:00,ESP3light,OFF
2025-12-21T16:01:24.188010+00:00,Nanoleaf0176,OFF
2025-12-21T16:01:50.186011+00:00,Nanoleaf1624,ON
2025-12-21T16:02:09.186403+00:00,HueWhite1549,OFF
2025-12-21T16:03:19.184648+00:00,HueWhite0475,ON
2025-12-21T16:03:29.184298+00:00,Nanoleaf1624,OFF
2025-12-21T16:03:36.186154+00:00,Nanoleaf1624,ON
2025-12-21T16:04:58.184827+00:00,ESP2light,OFF
2025-12-21T16:06:12.185261+00:00,ESP1light,ON
2025-12-21T16:06:54.194637+00:00,Nanoleaf1624,OFF
2025-12-21T16:07:07.185194+00:00,HueWhite0475,OFF
2025-12-21T16:07:54.186644+00:00,ESP1light,OFF
2025-12-21T16:07:54.198031+00:00,Nanoleaf1624,ON
2025-12-21T16:08:37.192123+00:00,HueWhite0475,ON
2025-12-21T16:08:42.186780+00:00,HueWhite0475,OFF
2025-12-21T16:09:02.185008+00:00,ESP1light,ON
2025-12-21T16:09:23.185975+00:00,Nanoleaf1624,OFF
2025-12-21T16:09:47.190926+00:00,Nanoleaf0176,ON
2025-12-21T16:10:07.184976+00:00,HueWhite1549,ON
2025-12-21T16:10:25.183179+00:00,HueWhite0475,ON
2025-12-21T16:10:50.185129+00:00,HueWhite0475,OFF
2025-12-21T16:11:34.184321+00:00,ESP1light,OFF
2025-12-21T16:11:39.192016+00:00,Nanoleaf0176,OFF
2025-12-21T16:11:42.184946+00:00,Nanoleaf0176,ON
2025-12-21T16:12:52.184083+00:00,HueWhite0475,ON
2025-12-21T16:14:03.185538+00:00,Nanoleaf1624,ON
2025-12-21T16:14:18.193021+00:00,ESP2light,ON
2025-12-21T16:15:29.183441+00:00,ESP3light,ON
2025-12-21T16:15:40.185462+00:00,Nanoleaf0176,OFF
2025-12-21T16:16:06.186528+00:00,ESP2light,OFF
2025-12-21T16:16:11.192469+00:00,Nanoleaf0176,ON
2025-12-21T16:16:54.183549+00:00,Nanoleaf1624,OFF
2025-12-21T16:17:14.185190+00:00,ESP2light,ON
2025-12-21T16:17:48.191380+00:00,ESP2light,OFF
2025-12-21T16:17:58.197695+00:00,ESP1light,ON
2025-12-21T16:18:23.185720+00:00,HueWhite1549,OFF
2025-12-21T16:18:36.186465+00:00,HueWhite1549,ON
2025-12-21T16:19:09.184876+00:00,Nanoleaf0176,OFF
2025-12-21T16:19:30.191242+00:00,ESP2light,ON
2025-12-21T16:19:39.184655+00:00,Nanoleaf1624,ON
2025-12-21T16:19:54.184079+00:00,ESP3light,OFF
2025-12-21T16:20:02.185706+00:00,ESP1light,OFF
2025-12-21T16:21:09.185901+00:00,ESP1light,ON
2025-12-21T16:21:11.187215+00:00,Nanoleaf1624,OFF
2025-12-21T16:21:45.185152+00:00,ESP1light,OFF
2025-12-21T16:22:15.187246+00:00,ESP3light,ON
2025-12-21T16:22:26.186847+00:00,HueWhite1549,OFF
2025-12-21T16:22:42.183930+00:00,ESP3light,OFF
2025-12-21T16:23:13.186657+00:00,Nanoleaf0176,ON
2025-12-21T16:23:13.202701+00:00,Nanoleaf1624,ON
2025-12-21T16:23:52.185083+00:00,Nanoleaf1624,OFF
2025-12-21T16:24:41.186043+00:00,HueWhite1549,ON
2025-12-21T16:24:49.186079+00:00,Nanoleaf1624,ON
2025-12-21T16:25:04.184346+00:00,HueWhite0475,OFF
2025-12-21T16:25:09.184149+00:00,ESP2light,OFF
2025-12-21T16:25:31.185611+00:00,Nanoleaf1624,OFF
2025-12-21T16:26:14.184668+00:00,ESP3light,ON
2025-12-21T16:26:45.186388+00:00,HueWhite1549,OFF
2025-12-21T16:26:50.186468+00:00,ESP2light,ON
2025-12-21T16:26:55.184979+00:00,ESP2light,OFF
2025-12-21T16:27:40.192716+00:00,Nanoleaf1624,ON
2025-12-21T16:27:41.186304+00:00,HueWhite0475,ON
2025-12-21T16:27:47.182634+00:00,Nanoleaf1624,OFF
2025-12-21T16:28:34.184222+00:00,ESP1light,ON
2025-12-21T16:29:03.185995+00:00,ESP2light,ON
2025-12-21T16:29:09.186491+00:00,Nanoleaf0176,OFF
2025-12-21T16:29:57.186359+00:00,Nanoleaf0176,ON
2025-12-21T16:30:37.184676+00:00,HueWhite1549,ON
2025-12-21T16:31:25.185140+00:00,ESP2light,OFF
2025-12-21T16:31:39.193870+00:00,Nanoleaf0176,OFF
2025-12-21T16:32:10.186281+00:00,Nanoleaf0176,ON
2025-12-21T16:32:20.185795+00:00,ESP2light,ON
2025-12-21T16:33:36.186419+00:00,ESP3light,OFF
2025-12-21T16:33:54.196386+00:00,ESP1light,OFF
2025-12-21T16:34:37.188666+00:00,Nanoleaf0176,OFF
2025-12-21T16:34:57.185809+00:00,HueWhite0475,OFF
2025-12-21T16:35:49.183883+00:00,ESP3light,ON
2025-12-21T16:35:52.184501+00:00,Nanoleaf1624,ON
2025-12-21T16:36:39.184954+00:00,HueWhite0475,ON
2025-12-21T16:36:55.187051+00:00,HueWhite1549,OFF
2025-12-21T16:37:23.186608+00:00,ESP3light,OFF
2025-12-21T16:37:35.188283+00:00,Nanoleaf0176,ON
2025-12-21T16:38:23.192818+00:00,ESP2light,OFF
2025-12-21T16:39:33.185041+00:00,HueWhite1549,ON
2025-12-21T16:39:40.190311+00:00,HueWhite0475,OFF
2025-12-21T16:39:47.184271+00:00,ESP2light,ON
2025-12-21T16:40:34.187667+00:00,ESP3light,ON
2025-12-21T16:40:48.184476+00:00,HueWhite1549,OFF
