Timestamp,Device,Command
2025-12-23T13:41:18.134539+00:00,ESPZB1light,ON
2025-12-23T13:41:34.139486+00:00,Hue9L7,ON
2025-12-23T13:41:36.132291+00:00,Hue9L7,OFF
2025-12-23T13:42:08.135154+00:00,ESPZB2light,ON
2025-12-23T13:42:09.120919+00:00,ESPZB2light,OFF
2025-12-23T13:42:57.128563+00:00,Hue9GF,ON
2025-12-23T13:43:25.127301+00:00,ESPZB2light,ON
2025-12-23T13:43:30.128795+00:00,HueWhite1549,ON
2025-12-23T13:44:15.130706+00:00,Hue9GF,OFF
2025-12-23T13:45:21.140564+00:00,HueWhite0475,ON
2025-12-23T13:45:25.131689+00:00,ESPZB1light,OFF
2025-12-23T13:46:07.128467+00:00,Hue9GF,ON
2025-12-23T13:46:30.128316+00:00,HueWhite0475,OFF
2025-12-23T13:46:47.131983+00:00,Hue9GF,OFF
2025-12-23T13:46:58.130221+00:00,Hue9GF,ON
2025-12-23T13:47:26.129861+00:00,ESPZB3light,ON
2025-12-23T13:47:29.134887+00:00,Hue9L7,ON
2025-12-23T13:49:11.130092+00:00,ESPZB1light,ON
2025-12-23T13:49:13.123576+00:00,ESPZB1light,OFF
2025-12-23T13:49:26.120752+00:00,Hue9GF,OFF
2025-12-23T13:50:10.128586+00:00,ESPZB3light,OFF
2025-12-23T13:51:10.128665+00:00,ESPZB2light,OFF
2025-12-23T13:51:34.120754+00:00,HueWhite0475,ON
2025-12-23T13:51:42.137642+00:00,Hue9GF,ON
2025-12-23T13:51:48.123341+00:00,ESPZB1light,ON
2025-12-23T13:52:07.120847+00:00,Hue9GF,OFF
2025-12-23T13:53:27.152440+00:00,HueWhite1549,OFF
2025-12-23T13:53:52.128858+00:00,HueWhite1549,ON
2025-12-23T13:54:35.127817+00:00,ESPZB2light,ON
2025-12-23T13:54:45.128860+00:00,HueWhite1549,OFF
2025-12-23T13:55:40.135712+00:00,ESPZB2light,OFF
2025-12-23T13:56:16.128882+00:00,Hue9L7,OFF
2025-12-23T13:56:37.127865+00:00,Hue9GF,ON
2025-12-23T13:57:01.128461+00:00,HueWhite1549,ON
2025-12-23T13:57:31.135705+00:00,HueWhite0475,OFF
2025-12-23T13:57:38.127680+00:00,ESPZB3light,ON
2025-12-23T13:58:39.127639+00:00,HueWhite1549,OFF
2025-12-23T13:58:52.128053+00:00,HueWhite1549,ON
2025-12-23T13:58:57.136945+00:00,Hue9GF,OFF
2025-12-23T13:59:28.132902+00:00,ESPZB3light,OFF
2025-12-23T13:59:33.129355+00:00,Hue9L7,ON
2025-12-23T14:00:10.128073+00:00,ESPZB1light,OFF
2025-12-23T14:00:23.135584+00:00,ESPZB1light,ON
2025-12-23T14:00:56.122773+00:00,ESPZB2light,ON
2025-12-23T14:01:01.128701+00:00,HueWhite1549,OFF
2025-12-23T14:01:34.127302+00:00,Hue9GF,ON
2025-12-23T14:02:06.130117+00:00,HueWhite1549,ON
2025-12-23T14:02:18.127539+00:00,ESPZB1light,OFF
2025-12-23T14:03:01.127293+00:00,Hue9L7,OFF
2025-12-23T14:03:43.142978+00:00,Hue9L7,ON
2025-12-23T14:03:43.152874+00:00,ESPZB1light,ON
2025-12-23T14:04:45.129788+00:00,Hue9GF,OFF
2025-12-23T14:05:04.126583+00:00,ESPZB3light,ON
2025-12-23T14:05:16.125089+00:00,Hue9GF,ON
2025-12-23T14:05:19.136132+00:00,HueWhite1549,OFF
2025-12-23T14:05:52.127078+00:00,ESPZB2light,OFF
2025-12-23T14:05:53.126985+00:00,ESPZB3light,OFF
2025-12-23T14:06:39.131205+00:00,HueWhite0475,ON
2025-12-23T14:07:10.135335+00:00,HueWhite0475,OFF
2025-12-23T14:07:29.140502+00:00,HueWhite1549,ON
2025-12-23T14:07:29.146688+00:00,Hue9GF,OFF
2025-12-23T14:08:26.135274+00:00,ESPZB3light,ON
2025-12-23T14:08:40.128282+00:00,HueWhite1549,OFF
2025-12-23T14:08:55.129131+00:00,Hue9L7,OFF
2025-12-23T14:09:12.128928+00:00,ESPZB2light,ON
2025-12-23T14:10:18.134703+00:00,HueWhite0475,ON
2025-12-23T14:10:35.128173+00:00,Hue9GF,ON
2025-12-23T14:10:41.127977+00:00,Hue9GF,OFF
2025-12-23T14:11:39.129346+00:00,ESPZB3light,OFF
2025-12-23T14:11:41.135652+00:00,ESPZB2light,OFF
2025-12-23T14:12:12.130173+00:00,ESPZB3light,ON
2025-12-23T14:13:10.129580+00:00,HueWhite0475,OFF
2025-12-23T14:13:47.128451+00:00,ESPZB1light,OFF
2025-12-23T14:13:53.135469+00:00,ESPZB2light,ON
2025-12-23T14:16:46.128546+00:00,ESPZB1light,ON
2025-12-23T14:16:57.128771+00:00,HueWhite1549,ON
2025-12-23T14:17:51.136899+00:00,ESPZB3light,OFF
2025-12-23T14:17:59.123550+00:00,HueWhite1549,OFF
2025-12-23T14:18:12.128808+00:00,ESPZB2light,OFF
2025-12-23T14:18:36.128025+00:00,Hue9GF,ON
2025-12-23T14:19:16.136507+00:00,HueWhite0475,ON
2025-12-23T14:19:20.124675+00:00,ESPZB3light,ON
2025-12-23T14:20:52.128595+00:00,ESPZB3light,OFF
2025-12-23T14:21:32.127895+00:00,Hue9L7,ON
2025-12-23T14:22:22.135099+00:00,ESPZB1light,OFF
2025-12-23T14:22:22.135233+00:00,ESPZB1light,OFF
2025-12-23T14:22:25.126175+00:00,ESPZB1light,ON
2025-12-23T14:23:09.128588+00:00,ESPZB2light,ON
2025-12-23T14:23:29.136777+00:00,ESPZB1light,OFF
2025-12-23T14:24:13.128847+00:00,Hue9GF,OFF
2025-12-23T14:24:14.128754+00:00,ESPZB1light,ON
2025-12-23T14:24:54.127428+00:00,ESPZB2light,OFF
2025-12-23T14:26:42.128437+00:00,ESPZB2light,ON
2025-12-23T14:27:46.128263+00:00,Hue9L7,OFF
2025-12-23T14:28:24.128705+00:00,HueWhite1549,ON
2025-12-23T14:28:46.145576+00:00,ESPZB2light,OFF
2025-12-23T14:28:47.128615+00:00,ESPZB2light,ON
2025-12-23T14:29:46.129502+00:00,HueWhite1549,OFF
2025-12-23T14:30:21.121912+00:00,ESPZB3light,ON
2025-12-23T14:30:25.127694+00:00,ESPZB1light,OFF
2025-12-23T14:30:31.128723+00:00,ESPZB2light,OFF
2025-12-23T14:30:55.128399+00:00,HueWhite0475,OFF
2025-12-23T14:31:05.127839+00:00,Hue9GF,ON
2025-12-23T14:32:23.135082+00:00,HueWhite1549,ON
2025-12-23T14:32:51.130499+00:00,ESPZB1light,ON
2025-12-23T14:33:19.126190+00:00,ESPZB2light,ON
2025-12-23T14:33:23.121863+00:00,HueWhite1549,OFF
2025-12-23T14:34:03.135544+00:00,HueWhite1549,ON
2025-12-23T14:34:21.129362+00:00,HueWhite0475,ON
2025-12-23T14:34:23.122910+00:00,ESPZB3light,OFF
2025-12-23T14:35:15.121732+00:00,Hue9L7,ON
2025-12-23T14:35:44.128386+00:00,ESPZB1light,OFF
2025-12-23T14:35:53.129282+00:00,Hue9L7,OFF
2025-12-23T14:36:04.129775+00:00,ESPZB3light,ON
2025-12-23T14:36:13.129409+00:00,ESPZB1light,ON
2025-12-23T14:36:55.134738+00:00,Hue9L7,ON
2025-12-23T14:37:10.128988+00:00,ESPZB1light,OFF
2025-12-23T14:37:48.121581+00:00,HueWhite1549,OFF
2025-12-23T14:38:31.136000+00:00,HueWhite0475,OFF
2025-12-23T14:39:12.128409+00:00,HueWhite1549,ON
2025-12-23T14:39:19.128722+00:00,Hue9L7,OFF
2025-12-23T14:39:27.127934+00:00,HueWhite1549,OFF
2025-12-23T14:40:29.134295+00:00,ESPZB2light,OFF
2025-12-23T14:40:31.129823+00:00,ESPZB2light,ON
2025-12-23T14:41:56.128902+00:00,Hue9GF,OFF
2025-12-23T14:42:14.129119+00:00,HueWhite0475,ON
2025-12-23T14:42:41.133805+00:00,ESPZB3light,OFF
2025-12-23T14:42:49.128553+00:00,Hue9L7,ON
2025-12-23T14:43:13.129383+00:00,ESPZB3light,ON
2025-12-23T14:44:10.127728+00:00,ESPZB2light,OFF
2025-12-23T14:44:51.135898+00:00,Hue9L7,OFF
2025-12-23T14:45:47.128441+00:00,ESPZB2light,ON
2025-12-23T14:46:09.129050+00:00,ESPZB2light,OFF
2025-12-23T14:46:44.128023+00:00,HueWhite0475,OFF
2025-12-23T14:48:32.128950+00:00,ESPZB3light,OFF
2025-12-23T14:48:37.130352+00:00,HueWhite0475,ON
2025-12-23T14:48:53.125744+00:00,HueWhite1549,ON
2025-12-23T14:49:13.137603+00:00,Hue9GF,ON
2025-12-23T14:49:21.128044+00:00,ESPZB3light,ON
2025-12-23T14:49:22.128714+00:00,Hue9L7,ON
2025-12-23T14:50:13.129808+00:00,ESPZB3light,OFF
2025-12-23T14:50:55.145752+00:00,ESPZB3light,ON
2025-12-23T14:50:59.128549+00:00,Hue9L7,OFF
2025-12-23T14:51:20.129042+00:00,Hue9GF,OFF
2025-12-23T14:51:48.129498+00:00,HueWhite0475,OFF
2025-12-23T14:52:29.134634+00:00,HueWhite1549,OFF
2025-12-23T14:53:48.129049+00:00,ESPZB2light,ON
2025-12-23T14:53:54.129025+00:00,Hue9GF,ON
2025-12-23T14:53:59.129274+00:00,Hue9GF,OFF
2025-12-23T14:54:50.128288+00:00,ESPZB3light,OFF
2025-12-23T14:54:53.128753+00:00,Hue9L7,ON
2025-12-23T14:54:57.122764+00:00,HueWhite0475,ON
2025-12-23T14:55:32.127821+00:00,HueWhite1549,ON
2025-12-23T14:55:51.135534+00:00,ESPZB1light,ON
2025-12-23T14:56:05.128512+00:00,ESPZB2light,OFF
2025-12-23T14:56:43.122749+00:00,ESPZB2light,ON
2025-12-23T14:56:56.128579+00:00,ESPZB3light,ON
2025-12-23T14:56:58.135816+00:00,ESPZB3light,OFF
2025-12-23T14:57:47.128297+00:00,ESPZB2light,OFF
