entity_id,state,last_changed
light.huewhite0475,on,2025-12-24T10:43:06.597Z
light.huewhite0475,off,2025-12-24T10:49:27.602Z
light.huewhite0475,on,2025-12-24T10:52:23.606Z
light.huewhite0475,off,2025-12-24T10:53:56.599Z
light.huewhite0475,on,2025-12-24T10:58:10.555Z
light.huewhite0475,off,2025-12-24T11:00:11.600Z
light.huewhite0475,on,2025-12-24T11:03:49.636Z
light.huewhite0475,off,2025-12-24T11:05:48.606Z
light.huewhite0475,on,2025-12-24T11:08:12.601Z
light.huewhite0475,off,2025-12-24T11:24:17.552Z
light.huewhite0475,on,2025-12-24T11:25:57.599Z
light.huewhite0475,off,2025-12-24T11:26:32.549Z
light.huewhite0475,on,2025-12-24T11:33:09.607Z
light.huewhite0475,off,2025-12-24T11:35:09.606Z
light.huewhite0475,on,2025-12-24T11:35:48.551Z
light.huewhite0475,off,2025-12-24T11:36:54.553Z
light.huewhite0475,on,2025-12-24T11:38:31.602Z
light.huewhite0475,off,2025-12-24T12:11:22.598Z
light.huewhite0475,on,2025-12-24T12:14:31.601Z
light.huewhite0475,off,2025-12-24T12:18:00.616Z
light.huewhite0475,on,2025-12-24T12:21:01.607Z
light.huewhite0475,off,2025-12-24T12:23:45.549Z
light.huewhite0475,on,2025-12-24T12:25:19.596Z
light.huewhite0475,off,2025-12-24T12:26:10.553Z
light.huewhite0475,on,2025-12-24T12:29:16.627Z
light.huewhite0475,off,2025-12-24T12:34:19.598Z
light.huewhite0475,on,2025-12-24T12:34:48.552Z
light.huewhite0475,off,2025-12-24T12:38:31.602Z
light.huewhite0475,on,2025-12-24T12:39:40.600Z
light.huewhite0475,off,2025-12-24T12:42:53.600Z
light.huewhite0475,on,2025-12-24T12:44:45.599Z
light.huewhite0475,off,2025-12-24T12:52:21.605Z
light.huewhite0475,on,2025-12-24T12:52:26.552Z
light.huewhite0475,off,2025-12-24T12:57:25.633Z
light.huewhite0475,on,2025-12-24T12:57:42.551Z
light.huewhite0475,off,2025-12-24T12:59:53.601Z
light.huewhite0475,on,2025-12-24T13:02:58.599Z
light.huewhite0475,off,2025-12-24T13:03:55.553Z
light.huewhite0475,on,2025-12-24T13:29:00.611Z
light.huewhite0475,off,2025-12-24T13:31:05.601Z
light.huewhite0475,on,2025-12-24T13:32:30.554Z
light.huewhite0475,off,2025-12-24T13:33:56.597Z
light.huewhite0475,on,2025-12-24T13:41:24.620Z
light.huewhite0475,off,2025-12-24T13:43:00.609Z
light.huewhite0475,on,2025-12-24T13:43:53.552Z
light.huewhite0475,off,2025-12-24T13:46:51.598Z
light.huewhite0475,on,2025-12-24T13:49:37.601Z
light.huewhite0475,off,2025-12-24T13:56:08.606Z
light.huewhite0475,on,2025-12-24T14:02:18.599Z
light.huewhite0475,off,2025-12-24T14:02:42.557Z
light.huewhite0475,on,2025-12-24T14:09:36.599Z
light.huewhite0475,off,2025-12-24T14:09:50.554Z
light.huewhite0475,on,2025-12-24T14:13:01.606Z
light.huewhite0475,off,2025-12-24T14:14:26.559Z
light.huewhite0475,on,2025-12-24T14:15:59.609Z
light.huewhite0475,off,2025-12-24T14:18:32.597Z
light.huewhite0475,on,2025-12-24T14:21:55.600Z
light.huewhite0475,off,2025-12-24T14:23:36.600Z
light.huewhite0475,on,2025-12-24T14:32:09.554Z
light.huewhite0475,off,2025-12-24T14:36:57.600Z
light.huewhite0475,on,2025-12-24T14:37:44.553Z
light.huewhite0475,off,2025-12-24T14:39:41.608Z
light.huewhite0475,on,2025-12-24T14:46:16.601Z
light.huewhite0475,off,2025-12-24T14:50:24.630Z
light.huewhite0475,on,2025-12-24T14:50:52.552Z
light.huewhite0475,off,2025-12-24T14:51:48.554Z
light.huewhite0475,on,2025-12-24T14:53:16.601Z
light.huewhite0475,off,2025-12-24T15:01:31.606Z
light.huewhite0475,on,2025-12-24T15:03:01.600Z
light.huewhite0475,off,2025-12-24T15:04:05.551Z
light.huewhite0475,on,2025-12-24T15:08:21.599Z
light.huewhite0475,off,2025-12-24T15:13:10.641Z
light.huewhite0475,on,2025-12-24T15:13:11.553Z
light.huewhite0475,off,2025-12-24T15:16:44.605Z
light.huewhite0475,on,2025-12-24T15:17:32.601Z
light.huewhite0475,off,2025-12-24T15:19:02.598Z
light.huewhite0475,on,2025-12-24T15:21:35.550Z
light.huewhite0475,off,2025-12-24T15:23:31.553Z
light.huewhite0475,on,2025-12-24T15:24:01.550Z
light.huewhite0475,off,2025-12-24T15:25:04.600Z
light.huewhite0475,on,2025-12-24T15:29:04.600Z
light.huewhite0475,off,2025-12-24T15:33:53.552Z
light.huewhite0475,on,2025-12-24T15:35:17.606Z
light.huewhite0475,off,2025-12-24T15:36:07.555Z
light.huewhite0475,on,2025-12-24T15:40:46.553Z
light.huewhite0475,off,2025-12-24T16:01:02.597Z
light.huewhite0475,on,2025-12-24T16:09:50.606Z
light.huewhite0475,off,2025-12-24T16:12:33.600Z
light.huewhite0475,on,2025-12-24T16:13:58.601Z
light.huewhite0475,off,2025-12-24T16:15:25.594Z
light.huewhite0475,on,2025-12-24T16:20:24.600Z
light.huewhite0475,off,2025-12-24T16:22:25.550Z
light.huewhite0475,on,2025-12-24T16:24:53.598Z
light.huewhite0475,off,2025-12-24T16:27:57.547Z
light.huewhite0475,on,2025-12-24T16:28:06.561Z
light.huewhite0475,off,2025-12-24T16:28:46.550Z
light.huewhite0475,on,2025-12-24T16:30:03.612Z
light.huewhite0475,off,2025-12-24T16:31:25.601Z
light.huewhite0475,on,2025-12-24T16:32:31.583Z
light.huewhite0475,off,2025-12-24T16:36:04.602Z
light.huewhite0475,on,2025-12-24T16:40:37.600Z
light.huewhite0475,off,2025-12-24T16:43:46.600Z
light.huewhite0475,on,2025-12-24T16:44:47.555Z
light.huewhite0475,off,2025-12-24T16:47:34.603Z
light.huewhite0475,on,2025-12-24T16:56:01.600Z
light.huewhite0475,off,2025-12-24T16:56:28.582Z
light.huewhite0475,on,2025-12-24T17:01:07.599Z
light.huewhite0475,off,2025-12-24T17:03:17.609Z
light.huewhite0475,on,2025-12-24T17:08:59.614Z
light.huewhite0475,off,2025-12-24T17:10:56.599Z
light.huewhite0475,on,2025-12-24T17:12:37.559Z
light.huewhite0475,off,2025-12-24T17:12:59.546Z
light.huewhite0475,on,2025-12-24T17:14:40.551Z
light.huewhite0475,off,2025-12-24T17:18:02.606Z
light.huewhite0475,on,2025-12-24T17:25:51.599Z
light.huewhite0475,off,2025-12-24T17:33:20.595Z
light.huewhite0475,on,2025-12-24T17:34:49.602Z
light.huewhite0475,off,2025-12-24T17:40:00.596Z
light.huewhite0475,on,2025-12-24T17:40:51.583Z
light.huewhite0475,off,2025-12-24T17:49:30.553Z
light.huewhite0475,on,2025-12-24T17:49:33.552Z
light.huewhite0475,off,2025-12-24T17:50:53.613Z
light.huewhite0475,on,2025-12-24T17:55:39.602Z
light.huewhite0475,off,2025-12-24T18:03:15.601Z
light.huewhite0475,on,2025-12-24T18:08:42.597Z
light.huewhite0475,off,2025-12-24T18:10:58.603Z
light.huewhite0475,on,2025-12-24T18:20:51.607Z
light.huewhite0475,off,2025-12-24T18:40:10.553Z
light.huewhite0475,on,2025-12-24T18:43:04.610Z
light.huewhite0475,off,2025-12-24T18:43:25.553Z
light.huewhite0475,on,2025-12-24T18:46:45.601Z
light.huewhite0475,off,2025-12-24T18:49:37.647Z
light.huewhite0475,on,2025-12-24T18:54:33.555Z
light.huewhite0475,off,2025-12-24T18:55:44.595Z
light.huewhite0475,on,2025-12-24T18:57:47.598Z
light.huewhite0475,off,2025-12-24T18:59:50.595Z
light.huewhite0475,on,2025-12-24T19:01:29.602Z
light.huewhite0475,off,2025-12-24T19:03:34.596Z
light.huewhite0475,on,2025-12-24T19:14:30.632Z
light.huewhite0475,off,2025-12-24T19:15:51.614Z
light.huewhite0475,on,2025-12-24T19:18:38.601Z
light.huewhite0475,off,2025-12-24T19:26:36.598Z
light.huewhite0475,on,2025-12-24T19:28:11.602Z
light.huewhite0475,off,2025-12-24T19:28:26.552Z
light.huewhite0475,on,2025-12-24T19:33:02.598Z
light.huewhite0475,off,2025-12-24T19:38:42.608Z
light.huewhite0475,on,2025-12-24T19:40:00.552Z
light.huewhite0475,off,2025-12-24T19:41:17.615Z
light.huewhite0475,on,2025-12-24T19:41:38.554Z
light.huewhite0475,off,2025-12-24T19:43:23.602Z
light.huewhite0475,on,2025-12-24T19:50:41.601Z
light.huewhite0475,off,2025-12-24T19:52:03.606Z
light.huewhite0475,on,2025-12-24T19:57:15.600Z
light.huewhite0475,off,2025-12-24T19:58:12.552Z
light.huewhite0475,on,2025-12-24T20:07:46.606Z
light.huewhite0475,off,2025-12-24T20:08:48.552Z
light.huewhite0475,on,2025-12-24T20:12:00.602Z
light.huewhite0475,off,2025-12-24T20:12:10.553Z
light.huewhite0475,on,2025-12-24T20:12:43.578Z
light.huewhite0475,off,2025-12-24T20:13:25.596Z
light.huewhite0475,on,2025-12-24T20:21:10.608Z
light.huewhite0475,off,2025-12-24T20:23:00.601Z
light.huewhite0475,on,2025-12-24T20:29:30.600Z
light.huewhite0475,off,2025-12-24T20:42:39.600Z
light.huewhite0475,on,2025-12-24T20:43:37.602Z
light.huewhite0475,off,2025-12-24T20:48:21.553Z
light.huewhite0475,on,2025-12-24T20:50:29.600Z
light.huewhite0475,off,2025-12-24T20:55:17.600Z
light.huewhite0475,on,2025-12-24T20:57:35.601Z
light.huewhite0475,off,2025-12-24T21:03:32.597Z
light.huewhite0475,on,2025-12-24T21:06:00.598Z
light.huewhite0475,off,2025-12-24T21:07:09.599Z
light.huewhite0475,on,2025-12-24T21:08:00.562Z
light.huewhite0475,off,2025-12-24T21:24:02.560Z
