Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T10:35:32.530734+00:00 ; Hue9L7 ; ON
2025-12-24T10:35:59.520403+00:00 ; Hue9L7 ; OFF
2025-12-24T10:36:12.517590+00:00 ; ESPZB2light ; ON
2025-12-24T10:37:01.519611+00:00 ; ESPZB2light ; OFF
2025-12-24T10:37:20.521823+00:00 ; ESPZB3light ; ON
2025-12-24T10:38:51.520638+00:00 ; HueWhite1549 ; ON
2025-12-24T10:39:12.514728+00:00 ; ESPZB3light ; OFF
2025-12-24T10:39:49.534072+00:00 ; ESPZB3light ; ON
2025-12-24T10:39:59.518535+00:00 ; ESPZB2light ; ON
2025-12-24T10:40:08.517201+00:00 ; Hue9GF ; ON
2025-12-24T10:40:12.516417+00:00 ; Hue9L7 ; ON
2025-12-24T10:40:40.514236+00:00 ; Hue9GF ; OFF
2025-12-24T10:41:11.515979+00:00 ; ESPZB2light ; OFF
2025-12-24T10:41:57.517137+00:00 ; ESPZB2light ; ON
2025-12-24T10:42:17.520990+00:00 ; ESPZB1light ; ON
2025-12-24T10:43:06.517002+00:00 ; HueWhite0475 ; ON
2025-12-24T10:43:37.516804+00:00 ; ESPZB1light ; OFF
2025-12-24T10:43:51.517649+00:00 ; Hue9GF ; ON
2025-12-24T10:44:09.526351+00:00 ; ESPZB2light ; OFF
2025-12-24T10:44:41.515427+00:00 ; Hue9L7 ; OFF
2025-12-24T10:45:32.515638+00:00 ; Hue9L7 ; ON
2025-12-24T10:45:48.525028+00:00 ; ESPZB2light ; ON
2025-12-24T10:46:49.511571+00:00 ; Hue9GF ; OFF
2025-12-24T10:48:16.517818+00:00 ; Hue9GF ; ON
2025-12-24T10:48:36.515327+00:00 ; ESPZB2light ; OFF
2025-12-24T10:49:27.513874+00:00 ; HueWhite0475 ; OFF
2025-12-24T10:49:41.512708+00:00 ; ESPZB3light ; OFF
2025-12-24T10:49:51.516609+00:00 ; ESPZB1light ; ON
2025-12-24T10:50:49.556243+00:00 ; Hue9GF ; OFF
2025-12-24T10:50:53.517865+00:00 ; HueWhite1549 ; OFF
2025-12-24T10:51:49.515914+00:00 ; Hue9GF ; ON
2025-12-24T10:51:57.515387+00:00 ; HueWhite1549 ; ON
2025-12-24T10:52:23.521592+00:00 ; HueWhite0475 ; ON
2025-12-24T10:52:24.515614+00:00 ; HueWhite1549 ; OFF
2025-12-24T10:53:56.516713+00:00 ; HueWhite0475 ; OFF
2025-12-24T10:54:41.526869+00:00 ; ESPZB1light ; OFF
2025-12-24T10:54:54.516101+00:00 ; Hue9GF ; OFF
2025-12-24T10:55:00.516262+00:00 ; Hue9GF ; ON
2025-12-24T10:55:08.515572+00:00 ; ESPZB2light ; ON
2025-12-24T10:55:41.521906+00:00 ; HueWhite1549 ; ON
2025-12-24T10:55:46.516850+00:00 ; ESPZB2light ; OFF
2025-12-24T10:57:02.515475+00:00 ; ESPZB2light ; ON
2025-12-24T10:57:15.513917+00:00 ; Hue9GF ; OFF
2025-12-24T10:57:53.515982+00:00 ; ESPZB2light ; OFF
2025-12-24T10:58:10.517449+00:00 ; HueWhite0475 ; ON
2025-12-24T10:58:11.515894+00:00 ; ESPZB2light ; ON
2025-12-24T10:58:59.516795+00:00 ; ESPZB1light ; ON
2025-12-24T10:59:17.523977+00:00 ; ESPZB3light ; ON
2025-12-24T10:59:59.512981+00:00 ; Hue9L7 ; OFF
2025-12-24T11:00:11.516812+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:00:57.516524+00:00 ; ESPZB1light ; OFF
2025-12-24T11:01:21.522508+00:00 ; ESPZB2light ; OFF
2025-12-24T11:02:08.516116+00:00 ; ESPZB1light ; ON
2025-12-24T11:02:27.509885+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:03:49.522887+00:00 ; HueWhite0475 ; ON
2025-12-24T11:04:06.509470+00:00 ; Hue9L7 ; ON
2025-12-24T11:04:44.514399+00:00 ; Hue9L7 ; OFF
2025-12-24T11:05:31.516649+00:00 ; ESPZB1light ; OFF
2025-12-24T11:05:48.523152+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:06:29.515583+00:00 ; ESPZB2light ; ON
2025-12-24T11:06:38.516849+00:00 ; HueWhite1549 ; ON
2025-12-24T11:07:57.523274+00:00 ; ESPZB3light ; OFF
2025-12-24T11:08:12.516754+00:00 ; HueWhite0475 ; ON
2025-12-24T11:08:16.515312+00:00 ; ESPZB2light ; OFF
2025-12-24T11:08:43.516398+00:00 ; ESPZB2light ; ON
2025-12-24T11:09:15.522284+00:00 ; ESPZB3light ; ON
2025-12-24T11:09:57.516089+00:00 ; ESPZB3light ; OFF
2025-12-24T11:11:06.515514+00:00 ; Hue9L7 ; ON
2025-12-24T11:12:16.522539+00:00 ; ESPZB2light ; OFF
2025-12-24T11:12:18.515461+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:12:36.516319+00:00 ; Hue9L7 ; OFF
2025-12-24T11:13:41.516844+00:00 ; Hue9GF ; ON
2025-12-24T11:14:14.534492+00:00 ; HueWhite1549 ; ON
2025-12-24T11:14:16.515805+00:00 ; ESPZB1light ; ON
2025-12-24T11:14:25.515746+00:00 ; Hue9L7 ; ON
2025-12-24T11:14:38.516259+00:00 ; ESPZB1light ; OFF
2025-12-24T11:15:35.516806+00:00 ; ESPZB3light ; ON
2025-12-24T11:16:15.526626+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:16:28.517839+00:00 ; HueWhite1549 ; ON
2025-12-24T11:16:50.514514+00:00 ; ESPZB3light ; OFF
2025-12-24T11:17:00.517175+00:00 ; Hue9L7 ; OFF
2025-12-24T11:17:19.516954+00:00 ; ESPZB2light ; ON
2025-12-24T11:19:32.517077+00:00 ; ESPZB3light ; ON
2025-12-24T11:19:57.518158+00:00 ; ESPZB3light ; OFF
2025-12-24T11:20:00.522377+00:00 ; Hue9L7 ; ON
