Home Assistant notifications (Log started: 2025-12-25T10:40:36.497140+00:00)
--------------------------------------------------------------------------------
2025-12-25T10:40:36.497230+00:00 ; HueWhite0475 ; ON
2025-12-25T10:41:39.478747+00:00 ; Hue9GF ; ON
2025-12-25T10:42:10.483215+00:00 ; Hue9L7 ; ON
2025-12-25T10:42:26.483222+00:00 ; ESPZB3light ; ON
2025-12-25T10:43:27.488133+00:00 ; HueWhite1549 ; ON
2025-12-25T10:43:45.482703+00:00 ; ESPZB1light ; ON
2025-12-25T10:45:05.495377+00:00 ; Hue9GF ; OFF
2025-12-25T10:45:05.509007+00:00 ; Hue9L7 ; OFF
2025-12-25T10:45:18.481267+00:00 ; ESPZB1light ; OFF
2025-12-25T10:46:25.480941+00:00 ; HueWhite1549 ; OFF
2025-12-25T10:46:52.484534+00:00 ; ESPZB3light ; OFF
2025-12-25T10:48:02.479130+00:00 ; HueWhite1549 ; ON
2025-12-25T10:48:29.477868+00:00 ; ESPZB2light ; ON
2025-12-25T10:48:34.479569+00:00 ; Hue9GF ; ON
2025-12-25T10:48:42.485115+00:00 ; Hue9L7 ; ON
2025-12-25T10:49:50.479161+00:00 ; HueWhite0475 ; OFF
2025-12-25T10:50:19.477826+00:00 ; HueWhite0475 ; ON
2025-12-25T10:50:38.516548+00:00 ; Hue9GF ; OFF
2025-12-25T10:50:46.478769+00:00 ; Hue9L7 ; OFF
2025-12-25T10:51:09.477307+00:00 ; ESPZB1light ; ON
2025-12-25T10:51:55.479355+00:00 ; ESPZB2light ; OFF
2025-12-25T10:52:35.482310+00:00 ; ESPZB1light ; OFF
2025-12-25T10:52:57.476106+00:00 ; Hue9L7 ; ON
2025-12-25T10:53:54.477695+00:00 ; ESPZB1light ; ON
2025-12-25T10:54:47.484213+00:00 ; ESPZB1light ; OFF
2025-12-25T10:54:49.478467+00:00 ; ESPZB1light ; ON
2025-12-25T10:55:21.478212+00:00 ; Hue9L7 ; OFF
2025-12-25T10:55:38.475967+00:00 ; HueWhite1549 ; OFF
2025-12-25T10:56:16.485026+00:00 ; ESPZB3light ; ON
2025-12-25T10:56:41.476684+00:00 ; ESPZB3light ; OFF
